[2007/09/26 - 13:42:20] tornado-start : Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent
[2007/09/26 - 13:42:21] recalc sharekill for Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent
[2007/09/26 - 13:42:21] seed forever
[2007/09/26 - 13:42:21] executing command : 
cd '/var/www/download/sacarlson/'; HOME='/var/www/download/'; export HOME; nohup /usr/bin/python -OO '/home/oldbox/torrentflux-b4rt_1.0-beta1/html/bin/clients/tornado/tftornado.py' 'False' '0' 'sacarlson' '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent' --responsefile '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent' --display_interval 1 --max_download_rate '0' --max_upload_rate '10' --max_uploads '4' --minport '49160' --maxport '49300' --rerequest_interval '1800' --super_seeder '0' --max_connections '40' 1>> '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.log' 2>> '/var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.log' &
[2007/09/26 - 13:42:23] tornado starting up :
[2007/09/26 - 13:42:23]  - torrentfile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent
[2007/09/26 - 13:42:23]  - userName : sacarlson
[2007/09/26 - 13:42:23]  - transferStatFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.stat
[2007/09/26 - 13:42:23]  - transferCommandFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.cmd
[2007/09/26 - 13:42:23]  - transferLogFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.log
[2007/09/26 - 13:42:23]  - transferPidFile : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.pid
[2007/09/26 - 13:42:23]  - autoDie : False
[2007/09/26 - 13:42:23]  - shareKill : 0
[2007/09/26 - 13:42:23]  - minport : 49160
[2007/09/26 - 13:42:23]  - maxport : 49300
[2007/09/26 - 13:42:23]  - max_upload_rate : 10
[2007/09/26 - 13:42:23]  - max_download_rate : 0
[2007/09/26 - 13:42:23]  - min_uploads : 4
[2007/09/26 - 13:42:23]  - max_uploads : 4
[2007/09/26 - 13:42:23]  - min_peers : 20
[2007/09/26 - 13:42:23]  - max_initiate : 40
[2007/09/26 - 13:42:23]  - max_connections : 40
[2007/09/26 - 13:42:23]  - super_seeder : 0
[2007/09/26 - 13:42:23]  - security : 1
[2007/09/26 - 13:42:23]  - auto_kick : 1
[2007/09/26 - 13:42:23]  - crypto_allowed : 0
[2007/09/26 - 13:42:23]  - crypto_only : 0
[2007/09/26 - 13:42:23]  - crypto_stealth : 0
[2007/09/26 - 13:42:23]  - priority : 
[2007/09/26 - 13:42:23]  - alloc_type : normal
[2007/09/26 - 13:42:23]  - alloc_rate : 2.0
[2007/09/26 - 13:42:23]  - buffer_reads : 1
[2007/09/26 - 13:42:23]  - write_buffer_size : 4
[2007/09/26 - 13:42:23]  - check_hashes : 1
[2007/09/26 - 13:42:23]  - max_files_open : 50
[2007/09/26 - 13:42:23]  - upnp_nat_access : 1
[2007/09/26 - 13:42:23] writing pid-file : /var/www/download/.transfers/Maroon_5_It_Won_t_Be_Soon_Before_Long-_Demonoid.com_1192170.7602_-_mininova.org_-.torrent.pid (8539)
[2007/09/26 - 13:42:23] tornado up and running.
[2007/09/26 - 13:42:25] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:49:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:50:05] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:51:05] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:52:06] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:53:07] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:54:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:55:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:56:09] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:57:10] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:58:11] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 17:59:12] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:00:13] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:01:13] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:02:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:03:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:04:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:05:20] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:06:21] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:07:21] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:08:22] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:09:23] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:10:24] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:11:27] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:12:28] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:13:29] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:14:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:15:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:16:31] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:17:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:18:42] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:19:42] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:20:46] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:21:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:22:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:23:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:24:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:25:50] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:26:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:27:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:28:52] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:29:53] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:30:54] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:31:55] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:32:55] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:33:56] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:34:57] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:35:58] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:36:58] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:37:59] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:39:00] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:40:01] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:41:01] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:42:02] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:43:03] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:44:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:45:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:46:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:47:09] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:48:12] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:49:14] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:50:14] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:51:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:52:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:53:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:54:23] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:55:24] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:56:25] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:57:25] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:58:26] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 18:59:27] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:00:27] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:01:28] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:02:32] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:03:33] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:04:33] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:05:34] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:06:35] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:07:35] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:08:36] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:09:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:10:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:11:38] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:12:39] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:13:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:14:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:15:45] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:16:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:17:53] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:18:53] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:19:54] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:21:03] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:22:07] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:23:07] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:24:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:25:09] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:26:12] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:27:13] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:28:13] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:29:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:30:21] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:31:21] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:32:22] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:33:22] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:34:23] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:35:27] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:36:36] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:37:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:38:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:39:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:40:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:41:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:42:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:43:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:44:50] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:45:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:46:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:47:52] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:48:52] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:49:56] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:50:57] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:51:57] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:52:58] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:53:58] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:54:59] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:55:59] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:57:00] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:58:00] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 19:59:01] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:00:01] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:01:02] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:02:02] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:03:03] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:04:03] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:05:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:06:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:07:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:08:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:09:12] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:10:12] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:11:13] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:12:16] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:13:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:14:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:15:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:16:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:17:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:18:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:19:20] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:20:20] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:21:21] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:22:21] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:23:22] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:24:23] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:26:23] error: Problem connecting to tracker - timeout exceeded
[2007/09/26 - 20:28:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:29:12] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:30:12] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:31:13] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:32:14] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:33:14] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:34:15] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:35:15] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:36:16] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:37:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:38:17] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:39:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:40:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:41:22] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:42:23] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:43:23] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:44:24] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:45:25] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:46:25] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:47:29] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:48:29] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:49:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:50:31] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:51:34] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:52:38] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:53:38] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:54:39] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:55:39] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:56:40] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:57:40] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:58:44] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 20:59:44] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:00:45] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:01:45] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:02:46] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:03:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:04:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:05:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:06:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:07:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:08:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:09:53] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:10:53] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:11:54] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:12:55] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:13:55] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:14:56] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:15:59] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:17:00] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:18:01] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:19:01] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:20:02] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:21:03] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:22:03] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:23:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:24:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:25:05] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:26:05] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:27:06] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:28:15] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:29:16] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:30:26] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:31:26] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:32:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:33:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:34:30] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:35:31] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:36:35] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:37:35] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:38:36] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:39:36] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:40:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:41:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:42:38] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:43:39] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:44:39] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:45:40] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:46:40] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:47:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:48:41] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:49:42] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:50:46] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:51:46] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:52:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:53:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:54:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:55:48] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:56:49] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:57:50] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:58:50] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 21:59:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:00:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:01:52] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:02:55] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:03:56] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:04:59] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:06:00] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:07:03] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:08:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:09:04] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:10:05] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:11:08] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:12:09] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:13:09] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:14:11] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:15:11] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:16:15] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:17:18] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:18:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:19:19] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:20:29] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:21:29] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:22:33] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:23:33] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:24:34] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:25:35] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:26:35] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:27:36] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:28:36] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:29:37] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:30:40] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:31:44] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:32:44] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:33:45] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:34:45] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:35:46] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:36:46] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:37:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:38:47] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:39:50] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:40:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:41:51] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:42:55] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:43:55] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:44:56] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:45:56] error: Problem connecting to tracker - (111, 'Connection refused')
[2007/09/26 - 22:46:59] error: Problem connecting to tracker - (111, 'Connection refused')
